,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
UBQLN4P1,UBQLN4P1,8.063565886,0.632660278,9.268052164,0.999417422,0.04,-7.574917828
SPCS3,SPCS3,-2.058861163,11.69561422,-40.65352294,0.987856854,0.04,-8.00135354
DNAH11,DNAH11,-5.809061891,-8.651063222,87.51661314,0.999417422,0.04,-6.378601149
FAM161B,FAM161B,-0.018587959,-7.078445493,-3.101160392,0.715713753,0.04,-7.242930875
AL359258.1,AL359258.1,-10.0009117,-8.150249103,-99.00907931,0.999417422,0.04,-6.886488753
AC012074.1,AC012074.1,-11.014479,7.886298265,-1.203478208,0.999417422,0.04,-5.810536043
CCSAP,CCSAP,13.826808,-5.6047803,62.98387484,0.999417422,0.04,-4.420597589
RHOU,RHOU,2.9056332,-0.706604234,62.17284358,0.789375662,0.04,-7.637277404
STX1B,STX1B,-12.3008627,12.79387273,-61.49224933,0.999417422,0.04,-7.752383175
AL136038.4,AL136038.4,-12.06272895,-1.172189062,79.86430994,0.999417422,0.04,-8.007792419
ATF5,ATF5,6.048267223,-0.397647845,34.23120787,0.999417422,0.04,-7.709724374
FZD10-DT,FZD10-DT,-2.087102757,4.723199301,2.565022754,0.999417422,0.04,-7.34275361
AC110995.1,AC110995.1,-11.81242202,6.544744436,45.78470297,0.446368793,0.04,-5.442671568
HSP90B3P,HSP90B3P,4.963733877,7.387957254,36.80818081,0.999417422,0.04,-6.097720768
AC090409.1,AC090409.1,8.026117956,-7.990768454,33.28360415,0.999417422,0.04,-7.191454723
FP236383.3,FP236383.3,4.052399148,10.4599229,48.26054596,0.629810597,0.04,-7.635210774
AC004241.1,AC004241.1,7.96297431,19.55258413,-45.61108461,0.999417422,0.04,-7.645327407
UBIAD1,UBIAD1,2.935221494,9.376843873,55.72321906,0.999417422,0.04,-7.515025911
OR7E14P,OR7E14P,-7.202669882,13.14427715,-36.21711593,0.619885002,0.04,-7.117260497
CC2D1A,CC2D1A,-12.58427184,-0.660482951,-64.33287167,0.769784639,0.04,-6.661967749
SMKR1,SMKR1,-1.95241887,-4.680363578,58.26305928,0.999417422,0.04,-8.044038212
AL162258.2,AL162258.2,9.088302741,-4.169894164,-96.82302486,0.849350009,0.04,-3.253300164
AL390318.1,AL390318.1,11.09343381,16.54702485,-16.73151333,0.999417422,0.04,-6.11371172
AC068134.2,AC068134.2,8.984507049,4.887245053,-57.21582387,0.997256012,0.04,-6.387668018
ZBTB4,ZBTB4,14.06163245,1.744938886,-12.23005788,0.98683319,0.04,-7.711495053
TRIB1,TRIB1,13.89910916,-6.51944856,27.49376466,0.778480158,0.04,-5.220003704
ARRDC3,ARRDC3,-2.198429584,-14.77068477,-25.40857138,0.999417422,0.04,-8.025165801
HSDL1,HSDL1,1.997236965,13.72438334,8.990683316,0.35413282,0.04,-6.815126698
GPR32,GPR32,13.0067022,-11.34423545,82.07551395,0.999417422,0.04,-4.850800456
CCDC178,CCDC178,0.930597906,-12.71292807,-88.53532624,0.999417422,0.04,-6.8706908
SSPO,SSPO,7.019125526,1.075967354,2.132344514,3.53E-32,0.04,-6.186925847
MTND4P12,MTND4P12,15.08439559,4.732806523,-89.92032213,0.999266259,0.04,-6.743474357
ZNF492,ZNF492,14.94300349,13.86091262,-66.16142633,0.999417422,0.04,-7.464733357
MAP3K9,MAP3K9,-1.977758447,5.923780781,-31.4537736,0.884957907,0.04,-7.961193285
CH17-340M24.3,CH17-340M24.3,-12.99831513,-0.918544221,-65.99200808,0.999417422,0.04,-8.085801255
LMCD1-AS1,LMCD1-AS1,-5.918916772,14.85922558,-52.04712816,0.496826886,0.04,-7.159503043
AC012645.1,AC012645.1,5.932757776,-8.314075205,38.38835743,0.968403886,0.04,-5.338432779
PPP1R15A,PPP1R15A,14.85111901,10.04713447,40.98760488,0.996118223,0.04,-7.249669465
AC008507.1,AC008507.1,7.072061037,-3.026603345,-3.724025496,0.622577234,0.04,-8.203320302
TRAPPC6A,TRAPPC6A,-14.31498726,-12.38208315,35.10380711,0.999417422,0.04,-7.63472344
FTCD,FTCD,-4.05122047,1.844641667,98.12580004,0.245138004,0.04,-5.700077062
RNU2-52P,RNU2-52P,-9.103990527,-3.688366073,-55.46642647,0.997256012,0.04,-7.891588548
AC104825.1,AC104825.1,-3.843490953,-6.758071526,-87.83653806,0.996118223,0.04,-7.952735723
CHD7,CHD7,10.78112616,17.06951626,-38.38031856,0.789375662,0.04,-7.164634295
BMPR1AP1,BMPR1AP1,13.93129852,-7.850769188,-30.27260834,0.472308443,0.04,-5.614099823
PSG5,PSG5,-11.95627978,5.739751087,-87.42662533,0.001817929,0.04,-7.495810769
GAP43,GAP43,-10.14022805,17.41422429,37.66839366,0.415844829,0.04,-7.147995976
AC007881.2,AC007881.2,-12.05168015,19.43039721,73.98652233,1.14E-09,0.04,-6.104231785
SLC6A9,SLC6A9,5.030686756,10.79452132,-95.85981379,0.999417422,0.04,-7.479855193
CGB5,CGB5,-5.541171491,-0.857678464,79.66770373,0.950199051,0.04,-6.174581723
KRT7,KRT7,-7.037109504,4.840575497,-60.31931814,0.997256012,0.04,-7.916430133
ZNF257,ZNF257,3.49225552,13.60087526,-51.95461053,0.999417422,0.04,-8.00824268
AL031274.1,AL031274.1,-14.9132713,13.2383482,-82.73115199,0.999417422,0.04,-7.336634228
ASB4,ASB4,-12.10576595,14.35178574,-36.60377567,0.999417422,0.04,-7.91099982
GREM2,GREM2,-6.097905941,-1.346962248,-34.67116185,0.923849718,0.04,-7.844373707
PLEKHG6,PLEKHG6,-2.128076335,-5.452610363,14.30539091,0.495768438,0.04,-6.951432466
PRXL2A,PRXL2A,-1.233911019,6.673491927,77.48715955,0.789375662,0.04,-7.295742001
TDRD9,TDRD9,-2.987178202,-2.131233907,62.03437919,0.999417422,0.04,-6.962569624
PLEKHG3,PLEKHG3,7.059633742,-2.77602334,21.87329064,0.999417422,0.04,-7.139628252
DIRAS1,DIRAS1,-6.07968609,19.4853835,-42.5736142,0.900481203,0.04,-8.173826192
SRF,SRF,-10.05810396,15.92974033,-24.46847397,0.999417422,0.04,-5.429101333
ADAM19,ADAM19,14.02183165,-9.287859089,73.0535821,0.95758307,0.04,-6.855565305
FBXW4,FBXW4,13.00479904,2.479291804,-5.922714329,0.974294963,0.04,-6.242008421
TRIOBP,TRIOBP,-11.05280543,0.391608192,-15.37235219,0.93574385,0.04,-6.759753605
BCL3,BCL3,3.225675559,9.585066895,31.76652245,0.931085402,0.04,-6.980260295
FAM86DP,FAM86DP,12.26301893,8.024579699,38.93941237,0.999417422,0.04,-6.315633547
BX539320.1,BX539320.1,13.96107953,-7.782835999,84.34328066,0.999417422,0.04,-7.799886119
AL354993.2,AL354993.2,14.7293219,2.784220602,-44.3671572,0.274426005,0.04,-7.016166212
BCAP29,BCAP29,-11.30795401,-3.807079432,91.85671046,0.482303708,0.04,-8.120582264
FUT9,FUT9,-13.93622314,-6.290969793,7.764837367,0.999417422,0.04,-6.932634091
SEC14L1P1,SEC14L1P1,-13.1420868,-0.585076103,-77.11952864,0.950536866,0.04,-7.27006257
OR52E6,OR52E6,0.880027187,11.55314193,13.03894288,0.819529004,0.04,-8.159505599
APBA1,APBA1,14.32321867,-0.935937058,-47.35746609,0.999417422,0.04,-6.64519796
STT3A,STT3A,-10.19527311,-0.001488562,-31.45875317,0.999417422,0.04,-6.923663086
AC027612.3,AC027612.3,-4.271936304,1.044774613,95.29943676,0.999417422,0.04,-6.556393364
PXMP4,PXMP4,-1.790177934,-10.30212707,55.68624996,0.884957907,0.04,-7.694445894
TRIM45,TRIM45,-12.00135917,-8.097933312,-16.01720561,0.996118223,0.04,-7.675988292
ELL2P1,ELL2P1,9.952843479,-4.698416605,61.23681437,0.999417422,0.04,-5.224073301
FKBP9P1,FKBP9P1,-9.734888724,3.972780824,5.39293492,0.999417422,0.04,-7.479892446
PDIA3,PDIA3,-13.02668824,7.407537174,65.85126568,0.999417422,0.04,-7.303294441
BIN2,BIN2,-9.857460041,-0.234348039,-80.04054024,0.999417422,0.04,-7.133706124
MTLN,MTLN,10.98507383,-2.153706389,-42.18776384,0.999417422,0.04,-7.689831796
AL031590.1,AL031590.1,-9.900016652,8.492674629,40.92521905,0.931831176,0.04,-6.764401205
CHMP7,CHMP7,13.99827135,20.46871246,-11.03552181,0.999417422,0.04,-6.866075764
GYG2,GYG2,-0.247487897,-13.71953256,20.24118033,0.999417422,0.04,-7.571777883
PVR,PVR,6.033184221,-2.391000181,83.20025987,0.87269558,0.04,-7.891851793
RYBP,RYBP,11.92424796,-8.458046808,-81.33158839,0.848766966,0.04,-6.308672355
KRT7-AS,KRT7-AS,2.980531723,12.89563645,-61.28599479,0.999417422,0.04,-8.002865406
TXLNG,TXLNG,-13.76328399,13.21253058,-51.57514746,0.767366509,0.04,-5.741087844
MUC16,MUC16,9.874249688,-5.455583236,-17.00994123,0.641332065,0.04,-1.113258874
AC112229.3,AC112229.3,-12.08349563,6.234583865,75.54552096,0.999417422,0.04,-6.773104979
HMGN1P38,HMGN1P38,7.934604504,17.09908913,-11.88746472,0.999417422,0.04,-7.609638395
CBX3P4,CBX3P4,12.77107078,2.751864421,-86.78685089,0.999417422,0.04,-8.161017333
GDPD1,GDPD1,4.035347574,4.533210513,-39.60237027,0.793558155,0.04,-7.744619891
LINC01770,LINC01770,12.30645808,-7.489236344,55.47317964,0.999417422,0.04,-7.888747015
NCKIPSD,NCKIPSD,-7.061236142,13.65205107,2.374132733,0.815712478,0.04,-7.934548453
SH3GL1,SH3GL1,9.005094023,-1.691229657,58.0225399,0.999417422,0.04,-6.837138995
AC015849.5,AC015849.5,9.198265113,-12.47385025,-30.24154368,0.996118223,0.04,-4.810946459
AC020910.5,AC020910.5,-5.908961872,3.2612498,-9.468839475,0.999417422,0.04,-6.814191285
TBC1D3G,TBC1D3G,3.017234795,-9.238540622,81.255941,0.38684748,0.04,-8.04911858
C21orf58,C21orf58,11.09302532,-1.086244897,94.35778374,0.999417422,0.04,-7.174218852
AC067930.6,AC067930.6,6.882171318,11.13085014,-62.12322544,0.999417422,0.04,-7.908199796
INTS4P2,INTS4P2,-10.02008914,4.381409542,54.79830454,0.945044831,0.04,-7.664141517
GGCX,GGCX,2.424817906,15.00334922,95.45666518,0.999417422,0.04,-7.344716339
MGAT4B,MGAT4B,-0.069454651,12.10101394,37.1540249,0.641332065,0.04,-6.218698401
ALKBH3,ALKBH3,8.031182535,14.99650082,57.37113805,0.595345836,0.04,-8.125108195
LINC00235,LINC00235,2.949513288,-8.152757615,-68.48028084,0.973871735,0.04,-7.757306733
COL21A1,COL21A1,-4.054523107,4.86085962,72.81810183,0.999417422,0.04,-7.566817769
AL139339.1,AL139339.1,-12.94941378,-3.17249498,-98.70333744,0.999417422,0.04,-6.947811794
LPCAT3,LPCAT3,9.896653208,8.134053026,55.49312613,0.999417422,0.04,-5.527863997
ANKRD9,ANKRD9,-13.07813071,13.50335084,-49.11267705,0.999417422,0.04,-8.164862422
PHF7,PHF7,-11.78822539,-7.56818346,14.24058607,0.999417422,0.04,-7.910301124
SLC22A4,SLC22A4,6.897256088,12.37179672,-49.45210044,0.996118223,0.04,-7.723484705
AL031432.2,AL031432.2,-8.218019613,-12.25079527,96.01104171,0.999417422,0.04,-6.718954041
SPATA6L,SPATA6L,7.157211766,-5.005002366,85.29946234,0.999417422,0.04,-4.535153629
IL1RAPL2,IL1RAPL2,9.012185477,14.72324258,6.159504429,0.487906614,0.04,-7.144723407
AC002076.1,AC002076.1,12.93233498,21.79602275,-56.99673308,0.94667981,0.04,-7.332173465
ORMDL3,ORMDL3,7.0267424,19.62473403,-66.58458651,0.999417422,0.999417422,-7.251115283
FER1L5,FER1L5,12.9646908,4.396222697,-71.28956675,0.999417422,0.968403886,-7.988176001
MAP3K13,MAP3K13,12.99561124,15.45130464,98.9795352,0.999417422,0.999417422,-6.983956495
ZNF580,ZNF580,5.009107086,13.55833811,-52.83074299,0.996118223,0.200587958,-4.271430911
AC004816.1,AC004816.1,-15.04371915,-6.547092688,7.474803056,0.786057847,0.999417422,-8.214514257
AC009407.1,AC009407.1,-1.202204315,-9.152725399,43.84707917,0.999417422,0.999417422,-4.424349598
TNFRSF11B,TNFRSF11B,4.945262695,7.065893721,-77.42530121,0.999417422,0.999417422,-7.045904964
AC011921.1,AC011921.1,6.206386977,4.864028213,16.43846544,0.848766966,0.996118223,-7.599474451
RGPD8,RGPD8,-14.26491982,-0.311428093,80.61911639,0.999417422,0.999417422,-7.579223807
RNU4-1,RNU4-1,-3.014645048,-2.740824694,-26.16234125,0.999417422,0.898864764,-8.061524172
CU639417.4,CU639417.4,-0.121293308,8.576438812,4.643995819,0.999417422,0.706644704,-7.263520174
AL359091.5,AL359091.5,-0.149131963,16.44988576,46.9932341,0.873492614,0.994895414,-7.912203697
MRM1,MRM1,4.890637233,11.43308271,19.57251599,0.999417422,0.999417422,-0.900352389
UBE2A,UBE2A,6.691281517,2.801976637,-87.32817882,0.999417422,0.884957907,-6.875211545
AC022146.2,AC022146.2,0.770210469,1.539486552,-78.18356415,0.93574385,0.410195495,-7.681983772
DUXAP9,DUXAP9,5.769721767,8.344610134,29.23323779,0.945760852,0.908855235,-6.407883511
LINC02291,LINC02291,4.083488851,18.71633702,-57.40421893,0.999417422,0.33896495,-6.852516925
PPP1R26,PPP1R26,2.079764486,10.58764052,-36.84688823,0.999417422,0.973871735,-1.466904692
CYP2T1P,CYP2T1P,-14.09182297,2.087752121,-75.20153752,0.999417422,0.999417422,-6.309239532
TRGC1,TRGC1,5.031968354,6.520890513,54.50442895,0.690281056,0.996118223,-6.802553253
HCP5,HCP5,-5.137402045,1.137734656,68.74255637,0.705351175,0.761475466,-6.588708275
AC025181.2,AC025181.2,5.883968644,-9.996160124,31.39389433,0.942949813,0.850301562,-8.148762087
CILP,CILP,2.942130591,22.05516776,-85.81928995,0.631801508,0.999417422,-8.041682245
IGHA1,IGHA1,-13.11461045,9.95534718,99.00067011,0.999417422,0.173329178,-7.323179711
PALM3,PALM3,1.650548438,12.03493855,-61.13104548,0.814101404,0.999417422,-6.284452946
SEC63,SEC63,2.04728553,-6.425536223,-91.10488791,0.998929004,0.861717853,-8.053471179
TTC30B,TTC30B,-7.942984003,14.62728114,45.24272073,0.99809747,0.996118223,-5.55487613
SUCLG2P4,SUCLG2P4,2.725079779,-11.00245688,-67.61976611,0.999417422,0.999417422,-7.64009659
LINC01881,LINC01881,14.90805684,13.97875702,-81.56636106,0.999417422,0.999417422,-6.793614816
SLC16A5,SLC16A5,1.943005872,5.605519502,95.73122277,0.996118223,0.692531708,-7.550611354
ARMC5,ARMC5,11.04492677,-2.950341208,74.67934465,0.999417422,0.996863253,-8.189205657
TRIM26,TRIM26,8.975158645,13.31418686,24.7562152,0.98574137,0.999266259,-7.629980916
SCARNA21,SCARNA21,-14.92553948,-6.815595707,64.99173386,0.158027635,0.913859321,-7.787976925
GPLD1,GPLD1,-12.89398751,12.96642879,1.361575376,0.999417422,0.999417422,-7.546008513
AC037459.2,AC037459.2,-6.014260488,21.07203957,-41.34728232,0.996118223,0.999417422,-7.92989929
OGFOD3,OGFOD3,-13.95254788,4.362097414,-74.31984558,0.999417422,0.996118223,-7.253421137
AC124947.1,AC124947.1,-5.916023198,7.580157439,64.59061685,0.999417422,0.999417422,-7.647024699
LIMS3,LIMS3,8.021195778,14.46560196,62.31921154,0.999417422,0.951461574,-3.885235955
AC069185.1,AC069185.1,-10.1595668,17.1817533,76.49989835,0.996118223,0.999417422,-7.55360025
TMEM189,TMEM189,-7.773014563,-3.794399937,20.64002191,0.838677953,0.999417422,-7.48362493
LINC00221,LINC00221,-3.893898439,-3.535867093,80.44276519,0.230839275,0.999417422,-7.136413349
RRS1-AS1,RRS1-AS1,-10.98664372,2.117293195,8.221831188,0.735263784,0.925437477,-7.70970141
PACS1,PACS1,14.9683753,10.88947902,59.54969941,0.996118223,0.435020105,-3.745603382
ABCA1,ABCA1,0.912888405,-4.353089508,78.81836801,0.999417422,0.974606795,-5.662672692
ZNF879,ZNF879,-2.008600844,-12.49632074,80.96004449,0.996118223,0.591013253,-8.207719675
AL353194.1,AL353194.1,-12.13434203,-9.06625211,-43.30453194,0.999417422,0.939164829,-8.167418186
ITGAV,ITGAV,7.023946815,4.065771719,58.50900842,0.722850596,0.999417422,-6.737091504
LINC01284,LINC01284,-7.992859249,11.10384104,-69.96082294,0.999417422,0.999417422,-7.962928777
FMR1,FMR1,11.13045501,2.697579402,-22.51342991,0.858059434,0.934263691,-6.635077323
AC239799.1,AC239799.1,4.725222133,-4.998832207,50.78453469,0.826709437,0.999417422,-7.13433453
PDCD1LG2,PDCD1LG2,12.41022767,16.72213845,-23.05567602,0.947696664,0.999417422,-7.939258174
CGB3,CGB3,-6.037883863,1.07605676,8.596605184,0.974294963,0.79011204,-6.191011683
ARG2,ARG2,11.9803718,-4.761833968,64.74929156,0.999417422,0.999417422,-7.506150475
AC024909.2,AC024909.2,8.999928127,7.38876746,-75.00035011,0.999417422,0.999417422,-6.806615163
GTF2IP14,GTF2IP14,-13.01471848,-5.282997358,-37.12261923,0.999417422,0.999417422,-8.056461095
SMIM25,SMIM25,-13.01301621,-7.358805422,-3.050163316,0.999266259,0.83509663,-7.986358226
MEPCE,MEPCE,-14.02344365,4.335976229,-100.4571909,0.9619653,0.999266259,-6.321544534
AC006453.2,AC006453.2,-13.02884978,7.492930841,97.34600565,0.715713753,0.999266259,-7.831749088
AL161443.1,AL161443.1,11.03763885,14.31986212,60.18290016,0.990228774,0.999561975,-6.384495819
COL8A1,COL8A1,10.0083847,3.301558291,46.03287874,0.968403886,0.931831176,-7.568218823
ACSS3,ACSS3,12.04053759,7.486692193,-19.77367587,0.996118223,0.974294963,-7.652352951
LINC01336,LINC01336,5.668617944,12.65722535,-71.90441589,0.999417422,0.999965168,-7.862996213
IGHG3,IGHG3,7.088140996,11.53532183,62.64070334,0.699895772,0.999417422,-8.085824277
LINC02128,LINC02128,-9.065165962,-0.181696442,48.7681196,0.908391777,0.996118223,-6.756203827
INPPL1,INPPL1,-0.017747542,-9.688697793,86.92106195,0.999417422,0.98650474,-6.905336945
AL391650.2,AL391650.2,10.93964858,11.89880996,-59.84494061,0.999417422,0.999417422,-7.230710972
CEBPA-DT,CEBPA-DT,-11.8679734,3.852411623,42.93095688,0.999417422,0.942658548,-6.462518516
CYB5D1,CYB5D1,-6.919882524,11.5059637,101.2875102,0.999417422,0.999417422,-8.180460852
NBEAP1,NBEAP1,4.031949186,8.735300698,-1.775951587,0.545989946,0.974294963,-5.435540945
MLST8,MLST8,6.882011114,-5.066036636,-24.97489362,0.807305633,0.999417422,-7.202006594
ZNF524,ZNF524,10.08899444,4.590371324,68.51456202,0.999417422,0.999417422,-7.494281736
ZCCHC9,ZCCHC9,12.97628576,12.82594298,-9.143230633,0.999417422,0.992599342,-7.16637731
TBCAP1,TBCAP1,15.02821523,4.249698064,-84.53074704,0.862403386,0.989572905,-7.883713813
C19orf54,C19orf54,15.03100854,-7.302502458,81.16963464,0.999417422,0.931235011,-4.260150161
TRMT10A,TRMT10A,5.009992409,1.550350847,-70.79132107,0.939164829,0.913574047,-7.655779379
SLC16A1-AS1,SLC16A1-AS1,-8.055440076,-8.733182794,5.518246887,0.980149899,0.934160962,-7.814269781
MICALL1,MICALL1,11.94394537,5.457550958,47.16891262,0.870854915,0.999417422,-6.851418742
AC009120.2,AC009120.2,-13.92616938,2.565772808,-82.46245811,0.999417422,0.999417422,-7.404624495
ZNF747,ZNF747,3.0466793,-1.022692639,-59.88799913,0.993863613,0.999417422,-7.397262275
FZD10,FZD10,-13.15207724,-4.568769528,49.42263049,0.999417422,0.997256012,-7.355789633
MAFA,MAFA,-10.19364124,6.239835408,21.35542255,0.33896495,0.999417422,-7.353549712
CREG1,CREG1,-4.823912257,6.36269798,-63.44733519,0.93574385,0.999417422,-7.563048959
C2CD4B,C2CD4B,11.99620193,3.193125396,-10.0215022,0.999417422,0.999417422,-8.008556397
SERHL2,SERHL2,-12.1984431,-8.150970733,-4.068833359,0.999417422,0.996118223,-7.765222032
ZNF652,ZNF652,14.98294053,11.63201979,-72.40999524,0.999266259,0.72337279,-7.969484899
LSP1P4,LSP1P4,-2.111287205,-9.101876187,70.67463473,0.999417422,0.990228774,-7.835080906
ADCY6,ADCY6,-7.08885142,-2.611136361,-97.40246408,0.999417422,0.996118223,-7.480013147
AL512283.1,AL512283.1,7.03772314,-3.669682,-10.46464552,0.999417422,0.959279179,-7.540740208
CLDN3,CLDN3,2.884062073,-9.65888646,-53.70652564,0.900481203,0.502499375,-8.092744809
IFFO2,IFFO2,12.97778015,-14.39826379,73.95320237,0.999417422,0.319246165,-8.035245977
RGPD2,RGPD2,-14.05006293,4.333380081,29.78909216,0.999417422,0.987856854,-7.570881424
HMGN2P3,HMGN2P3,5.745621623,15.21787444,39.22528597,0.949234411,0.999417422,-6.882965807
GRAMD1A,GRAMD1A,5.016327306,21.6450295,55.26370845,0.999417422,0.999417422,-6.774639474
MYO3B,MYO3B,14.82900654,10.24368763,72.47950021,0.933963932,0.996118223,-7.898260617
FXYD3,FXYD3,-1.125755044,1.203930294,12.04675649,0.999417422,0.996118223,-7.013907778
SCARA5,SCARA5,-12.91911244,7.448696329,-41.65116124,0.950199051,0.999417422,-7.908660668
NLGN1,NLGN1,8.763766795,2.146246142,71.91585716,0.999417422,0.996118223,-6.916439432
F11R,F11R,-15.15908814,-6.934659735,-96.78715075,0.999417422,0.898864764,-6.453153283
RNF32,RNF32,-10.07230391,6.786178223,-80.86038987,0.978541576,0.999417422,-7.60315445
LINC01087,LINC01087,-10.98044917,0.417808118,9.148230273,0.999417422,0.974294963,-7.445438895
RN7SL674P,RN7SL674P,-6.334166297,2.166553275,33.60736373,0.999723996,0.999417422,-8.066694409
ABT1,ABT1,-1.067787688,7.236161367,-37.38408845,0.999417422,0.999417422,-6.596580971
ZBED1,ZBED1,10.13443107,-12.27184817,26.63067511,0.996118223,0.999417422,-7.186420138
HSPA5,HSPA5,0.19280706,-3.832101495,-9.560690239,0.999417422,0.978651126,-6.967764313
TMPRSS2,TMPRSS2,4.935314103,-10.35295699,-73.39189299,0.999417422,0.996118223,-7.633832576
LRRC41,LRRC41,0.001589914,20.07310436,86.02905876,0.967950774,0.999417422,-7.092721228
CDK14,CDK14,-4.992432068,-7.808156395,32.04255528,0.996118223,0.999417422,-4.74047238
LINC01990,LINC01990,-14.04814079,3.70001465,-87.14341961,0.999417422,0.999561975,-6.86496763
TIAF1,TIAF1,15.4051017,-7.526513413,-95.50967869,0.999417422,0.60380169,-8.111557731
PHLDB3,PHLDB3,-6.12406466,15.7146779,-43.42652047,0.999417422,0.974294963,-7.822326675
ZMAT1,ZMAT1,-8.489390386,-2.522060329,-81.61939296,0.996200982,0.974294963,-8.063443133
C19orf12,C19orf12,2.02219963,12.62811018,-78.85299332,0.999417422,0.999417422,-7.27580421
AC131649.2,AC131649.2,-8.109291943,0.625061589,34.62135723,0.999417422,0.999417422,-7.323421841
ALDH1L2,ALDH1L2,-12.0339668,15.62344593,97.82024176,0.999417422,0.62143936,-7.041422942
ZNF850,ZNF850,-3.114818108,-1.137970522,64.20785754,0.911655212,0.999417422,-7.574217181
FBXO9,FBXO9,6.98868991,-11.4123904,94.90054543,0.999417422,0.884957907,-7.023626809
AC114488.2,AC114488.2,-1.468044108,1.636782313,-50.60748905,0.996118223,0.797787738,-7.418145728
STAT6,STAT6,-2.023777372,-5.276057726,43.46314244,0.996118223,0.94667981,-6.815877768
CD300E,CD300E,-10.99369589,2.083682694,56.15335885,0.999417422,0.999417422,-6.832191749
B4GALT5,B4GALT5,14.00460792,1.228474666,-64.90811212,0.999417422,0.999417422,-7.568346838
TKT,TKT,7.961823135,17.55074488,-0.329144211,0.999417422,0.996118223,-6.054974864
AC092490.1,AC092490.1,13.03963073,-1.473292362,-28.30460538,0.931085402,0.999417422,-6.322843997
BYSL,BYSL,9.05365903,-2.930570204,70.28972626,0.974294963,0.999417422,-7.859238903
